order_id,user_id,res_id,timestamp,total_amount,item_ids
ord_1,user_105,res_7,2025-08-13 06:20:00,76,item_314
ord_2,user_345,res_14,2025-08-25 23:14:00,299,item_717|item_716
ord_3,user_433,res_6,2026-01-16 15:29:00,454,item_307|item_266
ord_4,user_401,res_6,2026-01-08 15:38:00,309,item_276|item_304
ord_5,user_1,res_14,2025-09-04 20:57:00,1068,item_690
ord_6,user_213,res_6,2025-12-12 09:17:00,231,item_271|item_288
ord_7,user_211,res_12,2025-11-29 03:00:00,272,item_578|item_586
ord_8,user_480,res_10,2025-09-25 15:37:00,447,item_480|item_500|item_481
ord_9,user_293,res_13,2026-01-16 17:16:00,388,item_643|item_650
ord_10,user_258,res_10,2025-10-08 17:36:00,865,item_472|item_460
ord_11,user_344,res_7,2026-01-01 23:15:00,235,item_329|item_330
ord_12,user_250,res_12,2025-10-04 16:31:00,549,item_560|item_569|item_555|item_568
ord_13,user_198,res_10,2025-11-16 03:13:00,534,item_496|item_482
ord_14,user_349,res_5,2025-08-26 08:38:00,328,item_231|item_218|item_247
ord_15,user_108,res_1,2025-09-08 04:46:00,591,item_4|item_30|item_42
ord_16,user_73,res_7,2025-09-16 10:34:00,307,item_336|item_333
ord_17,user_284,res_2,2025-10-26 06:45:00,263,item_94|item_71|item_105
ord_18,user_38,res_6,2025-10-17 23:09:00,453,item_297|item_269|item_264
ord_19,user_312,res_5,2025-10-19 15:32:00,572,item_253|item_249|item_227|item_228
ord_20,user_260,res_15,2025-11-11 17:14:00,232,item_726|item_746
ord_21,user_288,res_13,2025-11-14 16:41:00,290,item_660
ord_22,user_39,res_4,2025-10-28 03:59:00,355,item_182|item_198|item_178|item_162
ord_23,user_247,res_1,2025-10-16 18:25:00,355,item_3|item_21
ord_24,user_242,res_15,2025-11-28 17:57:00,1090,item_728
ord_26,user_214,res_3,2025-11-11 15:16:00,515,item_156|item_134|item_130
ord_27,user_218,res_3,2026-01-07 16:41:00,819,item_128|item_109
ord_28,user_398,res_5,2025-12-12 17:09:00,233,item_234|item_249|item_250
ord_29,user_5,res_2,2025-08-01 16:26:00,238,item_82|item_95
ord_30,user_296,res_4,2025-10-13 17:59:00,382,item_196|item_186|item_162|item_161
ord_31,user_414,res_6,2025-11-13 13:59:00,570,item_257|item_300|item_287
ord_33,user_117,res_12,2026-01-25 15:55:00,542,item_567|item_574|item_598
ord_35,user_169,res_7,2025-11-27 01:30:00,240,item_322|item_348
ord_36,user_1,res_9,2025-11-27 03:44:00,342,item_453|item_451|item_447
ord_37,user_38,res_7,2026-01-09 23:30:00,514,item_346|item_328|item_313
ord_38,user_137,res_9,2025-08-17 18:49:00,1078,item_442|item_426|item_431
ord_39,user_54,res_5,2025-09-13 11:54:00,189,item_239|item_238
ord_40,user_422,res_14,2025-08-02 03:09:00,379,item_681|item_712|item_680|item_688
ord_41,user_479,res_7,2025-10-11 13:31:00,294,item_319|item_331|item_347
ord_42,user_486,res_11,2026-01-13 04:05:00,432,item_532|item_519
ord_43,user_432,res_4,2025-08-18 10:24:00,273,item_164|item_173
ord_44,user_70,res_4,2025-08-11 10:01:00,262,item_192|item_193
ord_45,user_357,res_8,2025-11-15 21:08:00,528,item_392|item_370|item_363|item_355
ord_46,user_165,res_12,2025-12-23 07:10:00,101,item_565
ord_47,user_461,res_2,2026-01-09 14:15:00,448,item_74
ord_48,user_433,res_6,2025-12-09 09:12:00,215,item_304|item_285
ord_49,user_308,res_14,2025-12-27 06:59:00,236,item_680|item_723
ord_50,user_27,res_14,2025-09-29 09:41:00,585,item_719|item_720|item_695
ord_51,user_382,res_9,2025-09-02 09:48:00,456,item_408|item_420|item_428|item_429
ord_52,user_168,res_9,2025-09-17 23:42:00,279,item_422|item_429
ord_53,user_496,res_5,2026-01-22 17:44:00,395,item_225|item_249|item_248
ord_54,user_463,res_10,2026-01-05 03:00:00,769,item_495|item_465|item_466
ord_55,user_385,res_9,2025-12-11 05:24:00,1023,item_442|item_450
ord_56,user_147,res_10,2025-09-24 09:15:00,180,item_502|item_461
ord_57,user_325,res_6,2025-08-07 15:01:00,481,item_282|item_294|item_266
ord_58,user_21,res_10,2026-01-11 13:35:00,1047,item_503|item_464
ord_60,user_418,res_10,2025-10-12 10:52:00,422,item_492|item_475|item_481
ord_61,user_442,res_12,2025-10-23 11:20:00,471,item_614|item_569|item_577
ord_62,user_49,res_1,2025-11-26 10:56:00,204,item_28|item_42
ord_63,user_384,res_15,2025-10-06 02:02:00,542,item_759|item_730|item_737|item_765
ord_64,user_165,res_14,2025-11-28 20:54:00,213,item_684|item_689|item_716
ord_65,user_218,res_1,2026-01-07 06:08:00,139,item_9
ord_66,user_49,res_2,2025-09-05 15:55:00,238,item_55|item_89
ord_67,user_132,res_15,2025-12-12 23:36:00,765,item_759|item_758|item_763|item_751
ord_68,user_160,res_13,2025-09-06 13:14:00,703,item_655|item_626|item_671|item_679
ord_69,user_93,res_1,2025-08-08 19:27:00,1012,item_35|item_39|item_9
ord_70,user_396,res_3,2025-08-15 02:39:00,285,item_143|item_133
ord_71,user_20,res_10,2026-01-25 05:23:00,484,item_474|item_462|item_494
ord_72,user_149,res_8,2025-10-01 08:31:00,296,item_355|item_389|item_396
ord_73,user_290,res_2,2025-08-27 21:58:00,562,item_78|item_88|item_79|item_104
ord_74,user_286,res_2,2025-11-29 13:48:00,790,item_80|item_59
ord_75,user_296,res_4,2025-12-31 13:29:00,607,item_169|item_207|item_191|item_210
ord_76,user_121,res_6,2025-08-22 04:53:00,341,item_260|item_266
ord_77,user_415,res_10,2025-08-27 06:42:00,212,item_493|item_478
ord_78,user_378,res_2,2025-08-23 21:20:00,913,item_58|item_70
ord_79,user_442,res_4,2025-08-28 01:13:00,326,item_183|item_208
ord_80,user_435,res_12,2025-12-16 16:42:00,429,item_588|item_566|item_610
ord_81,user_16,res_13,2025-09-05 12:16:00,339,item_642|item_623
ord_82,user_148,res_8,2025-09-11 15:45:00,1216,item_362|item_367|item_359
ord_83,user_403,res_14,2026-01-08 08:53:00,59,item_687
ord_84,user_498,res_9,2025-08-20 01:47:00,208,item_426|item_421
ord_85,user_306,res_5,2025-11-14 07:21:00,427,item_238|item_225|item_252
ord_87,user_169,res_7,2026-01-27 20:39:00,452,item_345|item_322|item_336
ord_88,user_145,res_4,2025-09-17 03:28:00,328,item_193|item_165|item_202|item_204
ord_89,user_251,res_3,2025-08-19 22:29:00,575,item_145|item_138|item_109
ord_90,user_294,res_8,2025-12-29 15:24:00,417,item_383|item_350|item_391
ord_91,user_108,res_11,2025-10-28 15:20:00,316,item_542|item_504
ord_92,user_222,res_13,2025-10-29 01:59:00,506,item_655|item_671
ord_93,user_388,res_15,2026-01-07 02:36:00,431,item_740|item_761|item_738
ord_94,user_51,res_3,2025-12-11 23:23:00,264,item_137|item_132
ord_95,user_63,res_2,2026-01-24 04:28:00,505,item_64|item_72|item_79|item_50
ord_97,user_177,res_15,2025-08-09 00:40:00,366,item_759|item_725
ord_98,user_401,res_1,2025-10-27 04:10:00,1166,item_20|item_41|item_28
ord_99,user_403,res_9,2025-09-12 12:41:00,496,item_445|item_444|item_447|item_412
ord_100,user_491,res_3,2025-09-06 11:16:00,428,item_147|item_138
ord_101,user_298,res_11,2025-08-24 22:21:00,399,item_532|item_520
ord_102,user_217,res_13,2025-10-31 03:36:00,505,item_637|item_657|item_671
ord_103,user_98,res_12,2026-01-03 23:45:00,129,item_561
ord_104,user_261,res_13,2025-12-26 20:47:00,872,item_651|item_639|item_679
ord_105,user_157,res_15,2025-11-03 04:00:00,561,item_764|item_739|item_738|item_749
ord_106,user_90,res_11,2025-12-04 22:57:00,458,item_519|item_516|item_514
ord_107,user_48,res_6,2025-12-02 12:49:00,488,item_260|item_281|item_285|item_269
ord_108,user_81,res_1,2025-12-17 13:15:00,532,item_32|item_43|item_1|item_28
ord_109,user_13,res_1,2025-10-22 17:38:00,433,item_40|item_43|item_42
ord_110,user_278,res_4,2025-12-27 01:52:00,547,item_175|item_208|item_177|item_191
ord_111,user_171,res_1,2025-10-18 09:37:00,168,item_42|item_15
ord_112,user_228,res_1,2026-01-15 07:35:00,247,item_9|item_42
ord_113,user_257,res_9,2026-01-03 15:47:00,205,item_452|item_444
ord_114,user_330,res_15,2025-11-27 14:01:00,263,item_727|item_729|item_752
ord_115,user_55,res_13,2025-10-13 04:06:00,290,item_660
ord_116,user_141,res_8,2025-08-26 09:25:00,278,item_401|item_359
ord_117,user_148,res_5,2025-10-14 09:44:00,340,item_220|item_226
ord_118,user_274,res_4,2025-08-14 03:18:00,1114,item_197
ord_119,user_446,res_4,2025-12-08 02:08:00,476,item_183|item_208|item_206
